ID,NoPeople,ContainingMB,CensusYear
01,3,50055290000,2011
02,5,50055290000,2011
03,1,50055290000,2011
04,1,50055290000,2011
05,3,50049040000,2011
06,6,50049040000,2011
07,3,50049040000,2011
08,1,50049040000,2011
09,5,50049040000,2011
10,3,50049040000,2011
11,3,50055290000,2016
12,3,50055290000,2016
13,3,50055290000,2016
14,1,50055290000,2016
15,2,50049040000,2016
16,6,50049040000,2016
17,3,50049040000,2016
18,1,50049040000,2016
19,4,50049040000,2016
20,3,50049040000,2016
21,3,50055290000,2021
22,4,50055290000,2021
23,1,50055290000,2021
24,2,50055290000,2021
25,2,50049040000,2021
26,7,50049040000,2021
27,3,50049040000,2021
28,1,50049040000,2021
29,5,50049040000,2021
30,3,50049040000,2021